gene_name,logFC,logCPM,F,PValue
ABCA1,-0.40591618944455665,3.390969705192417,9.284851765249863,0.004011830010436689
ABCA10,-0.12222802356561442,1.1977079448056527,0.722950972511118,0.4000674742565751
ABCA11P,-0.12234289335075753,0.4246651758793017,1.205535096530576,0.27856187938420557
ABCA12,0.05083337884489284,-0.8819377814935535,0.06121061498023036,0.8058153097758831
ABCA17P,-0.12792521945698035,1.9316582560317093,1.6428469536205255,0.20706595320544816
ABCA2,-0.25058304706815127,10.532659518893245,1.963031429304797,0.16863984442458296
ABCA3,0.07291373339057619,8.350238327572757,0.8223021576114818,0.36975490234711417
ABCA4,-0.01501449035276916,0.04303388551479869,0.017371117129040704,0.8957811909493227
ABCA5,-0.08632502673992833,4.992107519496198,1.3662873483435487,0.2491360378336432
ABCA6,-0.14139850565450948,1.897600649724026,0.5733909309661911,0.4532021320903561
ABCA7,-0.029068845692612564,5.533848505929254,0.06514580650146094,0.7998037671736045
ABCA8,-0.6274276847911777,4.450785623547549,5.736563930777986,0.02121930663240357
ABCA9,-0.006092787577308405,2.7147381087380453,0.002825326199157916,0.9578649830738142
ABCB1,0.15162346446965488,4.354678948126589,1.8843657667286207,0.17722820788739002
ABCB10,-0.044194704851935794,3.3561152014694993,0.8379859677293569,0.3652738376678256
ABCB4,0.2614123506736339,-0.4241108289823874,2.756289065647798,0.10442809276215942
ABCB6,-0.22308262415317376,1.5956505234201142,2.362326853130079,0.1319036317037333
ABCB7,-0.056921543265650625,2.8518254617848826,0.5824881554145014,0.4496652465906579
ABCB8,-0.02562685984051387,5.82704076239313,0.1607721971406168,0.6905081660144636
ABCB9,0.02307839383418635,5.6754242921025435,0.11144693663715521,0.7401875948885419
ABCC1,-0.02932885149608177,4.466258576582639,0.18499369269691135,0.6693466556488714
ABCC10,-0.07155416497704539,5.051942453187824,1.1616440726196495,0.287363799900143
ABCC11,-0.08084171183259234,0.043993749688487474,0.4801458397624796,0.49222458139654257
ABCC12,0.005754928330626878,2.086489465232089,0.0016120379107410537,0.9681663518843859
ABCC2,-0.13016520412885837,-1.4967184460681007,0.5220814685667234,0.4740164779380992
ABCC3,0.012476588007609627,0.6560679694297484,0.005691515318003502,0.9402262512652294
ABCC4,-0.2947006523635364,1.4519319179075274,6.089835794645536,0.017815594626344165
ABCC5,-0.0012091384247605915,6.464766000526095,3.530382942522486e-4,0.9850994256018593
ABCC6,0.3207475681034472,0.9919830287262247,10.86384773762662,0.002017138429921535
ABCC6P1,-0.12358703619943383,-1.6356413108417507,0.39173551861524364,0.5348234571273291
ABCC8,0.08324436605829302,6.11847439449334,0.9635388334853933,0.33199762755746376
ABCC9,-0.39959352066900683,3.7308934886433813,7.931553375275407,0.007409057685955615
ABCD1,0.040005277841995354,3.3190740272190986,0.0762163612633067,0.7838651374484682
ABCD2,-0.08646729016379555,3.51987215675868,0.5708898441554081,0.4541822946162293
ABCD3,-0.11444333982066812,4.727711018388174,2.654825060311023,0.11082127932352334
ABCD4,-0.2624998991983345,4.4039556510255835,9.55835026680973,0.003554052081264437
ABCE1,-0.07958389386036864,4.478157514707018,2.0269948005139566,0.16201797932061768
ABCF1,0.018003989561175826,6.216340588725585,0.087889432437257,0.7683595615250796
ABCF2,0.04789318099028392,5.940084674418429,0.7619363876144088,0.38775708521987307
ABCF3,0.031735026497229514,5.728401373496295,0.2872979545177529,0.5948250512283291
ABCG1,-0.2409068865010389,4.025221314601689,4.837565154582976,0.03348456090356579
ABCG2,0.26535343516497734,5.000038810449814,2.563806326725606,0.11693769592806479
