Name_GeneSymbol,female
EBP,0.5439503144654143
KIT,-0.61722329399518
CDKN2A,0.00174561926894911
TOR1A,0.03642023439337595
GNAS,0.13810664556119828
HMGCR,0.344029643236475
NFKBIE,0.12957756613271387
ZNF395,0.32094648596888564
HSPD1,0.6074779221813659
SLC27A3,0.2415417476257636
ACOT9,0.05246926914743244
PDGFA,0.03628986633645493
STAP2,0.4013193583182193
TRAPPC3,0.17831503387770148
SPAG4,0.3994102411876937
LIPA,-0.5686828058640242
NARFL,0.09825344460311486
PAFAH1B3,0.26314538203600224
DENND2D,0.7002601974997724
RSU1,-0.14225326547101638
SESN1,0.25151157703198257
PRKCH,-0.2017409584770729
SMARCC1,-0.09215543256793124
IGF2R,-0.1327901741471232
ERO1L,0.2674673400701856
GALE,0.09506028166973128
DDB2,0.0660502162357517
