Pathway,name,value
Glutamate-Receptors,F2R,1
Glutamate-Receptors,GALR1,1
Glutamate-Receptors,OXTR,1
Glutamate-Receptors,AVPR1A,1
Glutamate-Receptors,TACR1,1
Glutamate-Receptors,OPRD1,1
Glutamate-Receptors,NTSR2,1
Glutamate-Receptors,NPY4R2,1
Glutamate-Receptors,APLNR,1
Glutamate-Receptors,FPR1,1
Glutamate-Receptors,C5AR1,1
Glutamate-Receptors,C3AR1,1
Glutamate-Receptors,BDKRB1,1
Glutamate-Receptors,GRPR,1
Glutamate-Receptors,TAAR9,1
Glutamate-Receptors,HTR1A,1
Glutamate-Receptors,HRH3,1
Glutamate-Receptors,ADRA1D,1
Glutamate-Receptors,CHRNA1,1
Glutamate-Receptors,APLN,1
Glutamate-Receptors,GRP,1
Glutamate-Receptors,GAL,1
Glutamate-Receptors,KISS1,1
Glutamate-Receptors,MLN,1
Glutamate-Receptors,NPVF,1
Glutamate-Receptors,NPB,1
Glutamate-Receptors,NTS,1
Glutamate-Receptors,HCRT,1
Glutamate-Receptors,OXT,1
Glutamate-Receptors,CORT,1
Glutamate-Receptors,TAC4,1
Glutamate-Receptors,TAC1,1
Glutamate-Receptors,TAC3,1
Glutamate-Receptors,UTS2,1
Glutamate-Receptors,AVP,1
Glutamate-Receptors,PRLH,1
Glutamate-Receptors,PMCH,1
Glutamate-Receptors,GNRH1,1
Glutamate-Receptors,INSL5,1
Glutamate-Receptors,TRH,1
Glutamate-Receptors,ADM,1
Glutamate-Receptors,UCN3,1
Glutamate-Receptors,PTH2,1
Glutamate-Receptors,VIP,1
Glutamate-Receptors,PATE3,1
Glutamate-Receptors,APELA,1
Glutamate-Receptors,GPHB5,1
Glutamate-Receptors,NPSR1,1
Glutamate-Receptors,NPS,1
Glutamate-Receptors,QRFPR,1
Glutamate-Receptors,QRFP,1
Glutamate-Receptors,SPX,1
Glutamate-Receptors,VGF,1
Glutamate-Receptors,CHRNA6,1
Glutamate-Receptors,CHRNA4,1
Glutamate-Receptors,ARC,1
Glutamate-Receptors,FOSB,1
Glutamate-Receptors,GPSM1,1
Glutamate-Receptors,RGS9,1
Glutamate-Receptors,GRIA2,1
Glutamate-Receptors,FGF14,1
Glutamate-Receptors,RORA,1
Glutamate-Receptors,TWNK,1
Glutamate-Receptors,ATXN8OS,1
Glutamate-Receptors,ATXN10,1
Glutamate-Receptors,BEAN1,1
Glutamate-Receptors,AFG3L2,1
Glutamate-Receptors,OMA1,1
Glutamate-Receptors,OPA1,1
Glutamate-Receptors,KCNC3,1
Glutamate-Receptors,CIC,1
Glutamate-Receptors,PUM2,1
Glutamate-Receptors,KCND3,1
Glutamate-Receptors,NOP56,1
Glutamate-Receptors,DAB1,1
Glutamate-Receptors,RELN,1
Glutamate-Receptors,SLC1A6,1
Glutamate-Receptors,NFYA,1
Glutamate-Receptors,MYOD1,1
Glutamate-Receptors,RAPGEF3,1
Glutamate-Receptors,PPP1R1A,1
