Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
TLR4,WP,"BP, KEGG","KEGG, BP",,KEGG,"KEGG, BP, WP","KEGG, WP",,,WP,BP,BP,"BP, WP","BP, WP"
TNC,WP,BP,"KEGG, BP, WP",BP,BP,"BP, WP",WP,BP,,"BP, WP",BP,BP,BP,BP
TP53,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP","KEGG, BP","BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
VEGFA,"WP, BP","KEGG, BP, WP","BP, KEGG, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,,"BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP"
ABAT,"WP, BP",BP,"BP, KEGG, WP",BP,"KEGG, BP",BP,BP,"KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","BP, WP"
AGXT,"WP, BP","KEGG, BP","KEGG, BP",BP,"BP, KEGG",BP,BP,"KEGG, BP, WP",BP,BP,"KEGG, BP","KEGG, BP","KEGG, BP, WP",
ASL,"WP, BP",BP,"BP, KEGG, WP",BP,"BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,"KEGG, BP, WP",
ASPA,"WP, BP",,"BP, KEGG",,,,,"KEGG, BP, WP",,,,,"KEGG, BP, WP",
GAD1,"WP, BP",BP,"BP, KEGG, WP",BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","BP, WP"
GPT,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP",BP,"BP, KEGG, WP",BP,BP,BP,BP,"KEGG, BP, WP",
ACOX1,"WP, KEGG, BP",BP,"KEGG, BP, WP","BP, WP","KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,KEGG
CYP1A1,"WP, BP",BP,"BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP
CYP1B1,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,"BP, WP",BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,
ESR1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP","KEGG, BP, WP",,BP,,"BP, WP","BP, WP","BP, WP",BP,"KEGG, BP"
JUN,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",BP,"BP, WP","BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP"
NR0B2,WP,WP,"KEGG, WP",WP,,"BP, WP",WP,,,WP,"BP, WP",WP,WP,WP
PPARA,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",,"KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",,KEGG
SP1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",,"KEGG, BP","BP, WP","BP, KEGG, WP","BP, WP","BP, WP","KEGG, BP, WP"
STAT3,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP"
ACAA2,"WP, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP
ACSL1,"WP, KEGG, BP","BP, WP","KEGG, BP",BP,"KEGG, BP, WP",BP,"KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP
ACSS2,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP, WP","BP, KEGG","KEGG, BP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,
ECH1,"WP, BP",WP,,,"BP, KEGG",WP,WP,,,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,WP
ECHDC1,"WP, BP",,KEGG,,KEGG,,,,,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",,
ECHS1,"WP, BP","BP, WP","KEGG, BP",BP,"KEGG, BP, WP",BP,BP,BP,BP,"KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,
MECR,"WP, BP",BP,BP,BP,BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
PECR,"WP, BP",,,,"KEGG, BP",,,,,"BP, WP","BP, KEGG, WP","KEGG, BP, WP",,
ACADL,"WP, KEGG, BP","BP, WP",BP,BP,"BP, WP",BP,BP,BP,BP,BP,"BP, KEGG, WP","KEGG, BP, WP",BP,
ADIPOQ,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,"BP, WP"
ANGPTL4,"WP, BP, KEGG",BP,"BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
APOA1,"WP, BP, KEGG",BP,"BP, WP","BP, WP",BP,"KEGG, BP",BP,"KEGG, BP",BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
APOA2,"WP, KEGG, BP",BP,"BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,
APOA5,"WP, BP, KEGG",BP,"BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
APOC3,"WP, BP, KEGG",BP,"BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
CD36,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP",WP
CPT1A,"WP, KEGG, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP","BP, KEGG, WP","BP, WP","BP, WP",WP
CPT1B,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,
CPT1C,"WP, BP, KEGG","KEGG, BP","KEGG, BP, WP",WP,KEGG,"KEGG, BP, WP","KEGG, BP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,
CPT2,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,BP,BP,"KEGG, BP","BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,
CYP27A1,"WP, KEGG, BP",BP,BP,"BP, WP",BP,BP,BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,WP
CYP8B1,"WP, KEGG, BP",BP,"BP, WP","BP, WP",BP,BP,BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
DBI,"WP, BP, KEGG",,WP,WP,WP,WP,,,,WP,"KEGG, BP, WP","KEGG, BP, WP",,
FABP1,"WP, KEGG, BP",BP,"BP, WP","BP, WP",BP,BP,BP,"KEGG, BP",BP,"BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,
FABP2,"WP, BP",,,,,,,KEGG,,,"BP, WP","BP, WP",,
FABP3,"WP, BP, KEGG",,,,,,,,,,"KEGG, BP, WP","KEGG, BP, WP",,
FABP4,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,
FADS2,"WP, BP, KEGG",BP,BP,BP,BP,BP,BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
ILK,"WP, KEGG, BP","BP, KEGG",BP,,BP,"KEGG, BP, WP",,,BP,,"KEGG, BP, WP","KEGG, BP, WP",BP,
MMP1,"WP, KEGG, BP","BP, WP","KEGG, BP",,"KEGG, BP","BP, KEGG, WP",WP,BP,,WP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP"
OLR1,"WP, KEGG, BP",BP,BP,,,KEGG,,,,,"KEGG, BP, WP","KEGG, BP, WP",,
PLIN1,"WP, BP",BP,,,"KEGG, BP, WP","BP, WP",,,KEGG,"BP, WP","KEGG, BP, WP","BP, WP",,
PLTP,"WP, BP, KEGG",,WP,WP,BP,,,,,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",,
PPARD,"WP, KEGG, BP","BP, WP","KEGG, BP, WP",WP,"KEGG, BP","BP, KEGG, WP",WP,BP,,WP,"KEGG, BP, WP","KEGG, BP, WP",,BP
PPARG,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",KEGG,BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP"
SCP2,"WP, BP, KEGG",BP,"BP, WP","BP, WP","KEGG, BP","BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
SLC27A2,"WP, BP",BP,BP,,"KEGG, BP",BP,,BP,,BP,"KEGG, BP, WP","KEGG, BP, WP",,BP
SLC27A4,"WP, BP, KEGG",BP,BP,BP,BP,BP,BP,"KEGG, BP",,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,
SLC27A5,"WP, BP, KEGG",BP,"KEGG, BP, WP","BP, WP",BP,"KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
SORBS1,"WP, BP, KEGG","KEGG, BP, WP","BP, WP",,,"KEGG, BP, WP","KEGG, BP",,,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,
UCP1,"WP, KEGG, BP",,"KEGG, BP","KEGG, BP","BP, KEGG, WP",WP,,,"KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP"
ADRB3,WP,,,,KEGG,"BP, WP",,,KEGG,,"KEGG, WP",,,BP
AGRP,"WP, BP, KEGG",,"KEGG, BP",,,WP,"KEGG, BP",,,"KEGG, BP","KEGG, BP, WP",,,
AKT1S1,WP,WP,"BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP",WP,,KEGG,WP,"KEGG, BP, WP",,,"BP, WP"
CTNNB1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP","BP, WP","BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
DIO1,"WP, KEGG, BP","KEGG, BP","KEGG, BP","BP, WP",BP,"KEGG, BP, WP",BP,BP,BP,BP,BP,BP,BP,
DIO3,"WP, BP, KEGG","KEGG, BP","KEGG, BP","BP, WP",BP,"KEGG, BP, WP",BP,BP,BP,BP,BP,BP,BP,
FRS2,WP,WP,"BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP",,,KEGG,WP,"KEGG, BP, WP",,,"BP, WP"
IYD,"WP, BP",BP,BP,"KEGG, BP",BP,"BP, WP",BP,BP,BP,BP,BP,BP,BP,
KDM1A,WP,BP,BP,WP,KEGG,"BP, WP",,,KEGG,,"KEGG, WP",,,WP
KLB,WP,,BP,,"KEGG, BP","BP, WP",,,KEGG,,"KEGG, BP, WP",,,BP
MAFA,"WP, BP","BP, KEGG",,,,"KEGG, BP, WP",,,,,,,,
MGLL,"WP, BP",BP,BP,BP,"KEGG, BP","BP, WP",BP,BP,"KEGG, BP",BP,"KEGG, BP, WP",BP,BP,"KEGG, BP"
NOTCH1,"WP, KEGG, BP","KEGG, BP","KEGG, WP","BP, WP","KEGG, BP","BP, KEGG, WP",,BP,KEGG,"BP, WP",,,,"KEGG, BP"
NPPA,WP,"KEGG, WP","KEGG, BP",,"KEGG, BP","BP, KEGG, WP",WP,,KEGG,WP,"KEGG, BP, WP",,WP,"KEGG, WP"
NPPB,WP,"BP, WP",BP,,KEGG,"BP, WP",WP,BP,KEGG,WP,"KEGG, BP, WP",BP,WP,"BP, WP"
NPR1,WP,BP,,BP,KEGG,"BP, WP",BP,,KEGG,,"KEGG, WP",,,WP
NPY,"WP, KEGG, BP",,"KEGG, BP",,,"BP, WP","KEGG, BP",,,"KEGG, BP","KEGG, BP",,WP,"BP, KEGG"
PAX8,WP,BP,BP,KEGG,BP,"BP, WP",,BP,BP,,,,BP,KEGG
PFKFB2,"WP, BP, KEGG","KEGG, BP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,"BP, WP",BP,BP,BP,
PLCB1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","BP, KEGG, WP"
PNPLA2,WP,"BP, WP",,,"KEGG, BP, WP",WP,,,KEGG,"BP, WP","KEGG, BP, WP",BP,,
POMC,"WP, KEGG, BP",,"KEGG, BP",,"KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,,"KEGG, BP, WP","KEGG, BP",BP,BP,"BP, KEGG, WP"
PPARGC1A,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP, WP"
PRKACA,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,KEGG,"KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP"
PRKCQ,"WP, BP, KEGG","BP, WP","KEGG, BP, WP",WP,,"KEGG, BP, WP","KEGG, BP",,,"KEGG, BP, WP","KEGG, BP",,,BP
SHH,WP,WP,"KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP",WP,WP,,,,,,BP
SIRT6,WP,KEGG,KEGG,KEGG,KEGG,"KEGG, WP",,,KEGG,"BP, WP","KEGG, WP","BP, WP",,
SLC16A10,"WP, KEGG, BP","KEGG, BP","BP, KEGG, WP",,,"KEGG, BP, WP",BP,,,,,,,
SLC26A4,"WP, BP",BP,BP,KEGG,BP,"BP, WP",BP,BP,,,,,,
SLC5A5,"WP, BP",BP,"BP, WP","KEGG, WP",BP,"BP, WP",BP,BP,,WP,WP,WP,BP,
SRC,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"BP, WP","BP, KEGG, WP",BP,,,"BP, WP","BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP"
TBC1D4,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",KEGG,KEGG,"BP, KEGG, WP","KEGG, BP",,KEGG,"KEGG, BP","KEGG, WP",,,
TG,WP,,,KEGG,BP,WP,,BP,,,,,,
TRH,WP,BP,BP,,,WP,,,,,BP,BP,,"BP, KEGG"
TSHR,WP,,,KEGG,,WP,,,,,,,,"BP, KEGG"
TTF1,WP,,,KEGG,BP,WP,,BP,,,,,,
TTF2,WP,,,KEGG,BP,WP,,BP,,,,,,
WNT4,"WP, BP, KEGG","KEGG, WP","KEGG, BP",,BP,"KEGG, BP, WP","BP, WP",,,,,,,"BP, WP"
ABL1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","BP, WP",BP,,"BP, WP",,,,"KEGG, WP"
ATM,"WP, KEGG, BP","KEGG, BP","KEGG, BP",WP,BP,"BP, KEGG, WP","KEGG, BP, WP",BP,BP,BP,,,BP,KEGG
AXIN1,"WP, BP","KEGG, WP","KEGG, BP","KEGG, WP","KEGG, BP","BP, KEGG, WP","BP, WP",,KEGG,WP,,,,"KEGG, BP, WP"
BAK1,"WP, BP","KEGG, WP","KEGG, WP","KEGG, BP","KEGG, WP","KEGG, BP, WP","BP, WP",,"KEGG, WP",BP,,,BP,"KEGG, WP"
BAX,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP, WP","BP, WP",WP,WP,"BP, WP","KEGG, BP, WP"
BBC3,WP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,,"KEGG, BP, WP",BP,BP,BP,BP,"KEGG, BP"
BCL6,"WP, BP, KEGG",BP,BP,"BP, WP",,"BP, WP","KEGG, BP, WP",,,,BP,BP,BP,"KEGG, BP, WP"
CAT,"WP, BP, KEGG",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP, WP"
CCNG2,"WP, BP, KEGG",BP,BP,,,"BP, WP","KEGG, BP, WP",,,,BP,BP,,"KEGG, BP"
CDC42,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP"
CDKN2A,"WP, BP","KEGG, BP","KEGG, BP, WP","BP, WP","KEGG, BP","BP, KEGG, WP","BP, WP",BP,BP,BP,"BP, WP",BP,BP,WP
DVL1,"WP, BP","KEGG, BP, WP","KEGG, BP","KEGG, WP","KEGG, BP","BP, KEGG, WP","BP, WP",,KEGG,,,,,"KEGG, WP"
ERBB2,"WP, BP","KEGG, BP","KEGG, BP","KEGG, WP","KEGG, BP","KEGG, BP, WP","BP, WP",,BP,"BP, WP",,BP,BP,"BP, WP"
FOSL1,"WP, BP",BP,"KEGG, BP",BP,BP,"KEGG, BP, WP","BP, WP",BP,,"BP, WP",BP,BP,BP,
HMGB1,"WP, BP","BP, WP","KEGG, BP, WP",WP,"BP, WP","BP, WP","KEGG, BP, WP",BP,BP,WP,,,BP,
LDLR,"WP, BP",BP,"KEGG, BP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP",BP,"BP, WP",BP,BP
LEF1,WP,"BP, KEGG","KEGG, BP",,"KEGG, BP","KEGG, BP, WP",WP,,BP,WP,,,BP,
MLKL,"WP, BP",KEGG,KEGG,,,"BP, WP","KEGG, BP, WP",,,,,,,
NFKB2,WP,"BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP",,,WP,WP,WP,"BP, WP",WP
PDK1,"WP, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",BP,BP,WP
PLAU,"WP, BP","BP, WP","KEGG, BP, WP",WP,WP,"KEGG, BP, WP","BP, WP",BP,,WP,BP,"BP, WP",BP,"KEGG, BP"
PMAIP1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",,BP,,BP,BP,BP,BP
RHOA,"WP, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","BP, WP",,,"BP, WP",BP,BP,"KEGG, WP","KEGG, BP, WP"
SMAD3,"WP, KEGG, BP",BP,BP,BP,BP,"BP, KEGG, WP","KEGG, BP, WP",BP,,"BP, WP",BP,BP,BP,"KEGG, BP"
SMAD4,"WP, KEGG, BP","BP, WP","KEGG, BP",,"KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",,,WP,,BP,BP,KEGG
SOD2,"WP, BP, KEGG","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP",WP,BP,BP,BP,"KEGG, BP"
TCF7,WP,"BP, KEGG",BP,,BP,"KEGG, BP, WP",WP,,,WP,BP,BP,BP,BP
TGFB1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, WP"
TP73,"WP, BP",WP,WP,BP,,"KEGG, BP, WP","BP, WP",,,BP,WP,,,WP
WNT11,"WP, BP",WP,BP,WP,BP,"KEGG, BP, WP","BP, WP",,,,,,,"BP, WP"
WNT16,"WP, BP",WP,BP,WP,BP,"BP, WP","BP, WP",,,,,,,"KEGG, BP, WP"
WNT3,"WP, BP",WP,"KEGG, BP",,BP,"BP, WP","BP, WP",,,WP,,,,"BP, WP"
WNT5A,"WP, BP",WP,BP,,BP,"BP, KEGG, WP","BP, WP",,,,BP,BP,BP,"BP, WP"
AGT,"WP, KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP"
AHR,"WP, BP",BP,"BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",,BP,,"BP, WP","BP, WP","BP, WP",BP,BP
ASIP,"WP, BP",,,,,"BP, KEGG",,,,,,,,
BMP2,"WP, BP",WP,"KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP",WP,,,WP,"BP, WP",,"BP, WP","BP, WP"
BMP4,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,BP,"KEGG, BP, WP",WP,BP,,"BP, WP",BP,BP,"KEGG, BP",
CEBPA,"WP, BP","KEGG, BP, WP","KEGG, BP",WP,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, WP",,BP,BP,BP,KEGG
CEBPB,"WP, BP","BP, WP","BP, WP",,,"KEGG, BP, WP","BP, WP","BP, WP",,WP,"BP, WP",BP,"BP, WP","KEGG, WP"
DDIT3,"WP, BP","KEGG, BP, WP",BP,KEGG,"KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",,BP,BP,BP,"KEGG, WP"
E2F1,"WP, BP","KEGG, BP","KEGG, BP",BP,"KEGG, BP","BP, KEGG, WP",,BP,BP,BP,BP,BP,"BP, WP","BP, WP"
E2F4,"WP, BP",BP,BP,BP,BP,"BP, KEGG, WP",,BP,BP,BP,BP,BP,BP,BP
EGR2,"WP, BP","BP, KEGG","KEGG, BP",BP,BP,"BP, WP",,BP,,"BP, WP",BP,BP,BP,WP
EPAS1,"WP, BP",BP,"KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP",,BP,BP,WP,BP,BP,BP,BP
FAS,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP",,"KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
FRZB,"WP, BP",,,,,KEGG,,,,,,"BP, WP",,
GATA4,"WP, KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,"BP, KEGG, WP",BP,BP,BP,"BP, WP",BP,BP,BP,
HIF1A,"WP, KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,,WP,"BP, WP",BP,,"BP, WP"
HNF1A,"WP, BP","KEGG, BP",,WP,,"BP, WP",BP,,,,BP,BP,,
IL6ST,"WP, BP","KEGG, BP",BP,,,"BP, KEGG, WP",,BP,,,BP,BP,,BP
LEP,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP"
LIF,"WP, BP",BP,"BP, WP","BP, WP",,"BP, KEGG, WP",,,,,BP,BP,BP,BP
LIPE,"WP, KEGG, BP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,KEGG
LPIN1,"WP, BP",BP,BP,BP,"BP, WP","KEGG, BP, WP",BP,BP,BP,"BP, WP",BP,"BP, WP",BP,
MEF2A,"WP, BP","BP, WP",,,BP,"BP, WP",WP,,,WP,WP,,"KEGG, WP","BP, WP"
MEF2C,"WP, BP","BP, WP",WP,WP,"BP, WP","BP, WP",WP,BP,,WP,"BP, WP","BP, WP",,"KEGG, BP, WP"
MIF,"WP, BP",BP,BP,,BP,BP,,"KEGG, BP",BP,,,,"BP, WP",WP
NCOA2,"WP, KEGG, BP","KEGG, BP","KEGG, BP, WP","BP, WP",BP,"BP, KEGG, WP",BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,KEGG
NCOR1,"WP, KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP, WP",BP,"BP, WP",BP,BP,"BP, WP",BP,BP,"KEGG, BP, WP"
NR3C1,"WP, BP","BP, WP","BP, WP",WP,BP,BP,"BP, WP",,BP,WP,"BP, WP","BP, WP",BP,"KEGG, BP, WP"
PLIN2,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,,BP,"KEGG, BP","KEGG, BP",BP,
PTGIS,"WP, BP",BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"BP, WP",BP,
RARA,"WP, BP",,"KEGG, BP",,"KEGG, BP","KEGG, BP, WP",,,,,,,,KEGG
RB1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"BP, WP",BP,"BP, WP","BP, WP",BP,"BP, WP",WP
RBL1,"WP, BP","KEGG, BP",BP,BP,BP,"BP, KEGG, WP",,BP,,BP,BP,BP,BP,BP
RORA,"WP, BP","BP, WP","BP, WP",,BP,"BP, WP","BP, WP",,,BP,"BP, WP",BP,,"KEGG, BP, WP"
SERPINE1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,,BP,"BP, WP",BP,BP,BP
SOCS1,"WP, BP","BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",BP,BP,,BP,BP,BP,BP,BP
SOCS3,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP"
STAT1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","KEGG, BP",BP,BP,"BP, WP","BP, WP","BP, WP",BP,"BP, WP"
STAT2,"WP, BP",KEGG,KEGG,,KEGG,"KEGG, BP, WP",,,,,,,,
