Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
EIF4EBP1,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, WP"
EXOC7,"WP, KEGG, BP","KEGG, BP","BP, WP",,BP,"KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP","BP, WP",,,
FASN,"WP, KEGG, BP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, KEGG, WP","KEGG, BP, WP","BP, WP",BP,
FOXO1,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP"
FOXO3,"WP, BP, KEGG","BP, WP","BP, WP",WP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",,,"BP, WP",BP,BP,WP,"BP, WP"
GSK3B,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,WP,"KEGG, BP, WP"
GYS1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,
HRAS,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
INS,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,"KEGG, BP, WP"
INSR,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
IRS1,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP",KEGG,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, WP","KEGG, BP, WP","KEGG, BP",BP,BP,"KEGG, BP, WP"
IRS2,"WP, KEGG, BP","BP, WP","KEGG, BP, WP",WP,WP,"KEGG, BP, WP","KEGG, BP, WP",,WP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP"
