Term,ID,Source_Sheet,Source_DB,Gene
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,G6PC
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,G6PC
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,G6PC
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,G6PC
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,GAPDH
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,GAPDH
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,GAPDH
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,GAPDH
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,GAPDH
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,GAPDH
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,GAPDH
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,GCK
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,GCK
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,GCK
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,GCK
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,GCK
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,GCK
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,GCK
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,GOT1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,GOT1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,GOT1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,GOT1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,GOT1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,GOT1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,GOT1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,GOT2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,GOT2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,GOT2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,GOT2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,GOT2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,GOT2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,GOT2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,GPI
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,GPI
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,GPI
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,GPI
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,GPI
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,GPI
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,GPI
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,HK1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,HK1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,HK1
