HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
ADSL,-0.17,0.25162,Iwamoto_BA10_BPD,BPD,Human
AGAP2,-0.63,0.02621,Iwamoto_BA10_BPD,BPD,Human
AGER,0.32,0.19201,Iwamoto_BA10_BPD,BPD,Human
AGL,0.05,0.76592,Iwamoto_BA10_BPD,BPD,Human
AGRP,0.21,0.40335,Iwamoto_BA10_BPD,BPD,Human
AGT,0.24,0.39558,Iwamoto_BA10_BPD,BPD,Human
AGXT,-0.54,0.09049,Iwamoto_BA10_BPD,BPD,Human
AHR,0.01,0.97197,Iwamoto_BA10_BPD,BPD,Human
AKAP13,0.11,0.53405,Iwamoto_BA10_BPD,BPD,Human
AKR1A1,-0.06,0.57154,Iwamoto_BA10_BPD,BPD,Human
AKR1B1,-0.07,0.65590,Iwamoto_BA10_BPD,BPD,Human
AKR1C3,0.37,0.21183,Iwamoto_BA10_BPD,BPD,Human
AKT3,-0.18,0.19384,Iwamoto_BA10_BPD,BPD,Human
ALAS1,-0.10,0.67632,Iwamoto_BA10_BPD,BPD,Human
ALB,0.42,0.25709,Iwamoto_BA10_BPD,BPD,Human
ALDH2,0.15,0.33353,Iwamoto_BA10_BPD,BPD,Human
ALDH3A1,-0.30,0.27165,Iwamoto_BA10_BPD,BPD,Human
ALDH4A1,0.05,0.80439,Iwamoto_BA10_BPD,BPD,Human
ALDH5A1,0.06,0.61325,Iwamoto_BA10_BPD,BPD,Human
ALDH7A1,0.31,0.08029,Iwamoto_BA10_BPD,BPD,Human
ALDH9A1,0.10,0.54602,Iwamoto_BA10_BPD,BPD,Human
ALDOA,-0.06,0.75256,Iwamoto_BA10_BPD,BPD,Human
ALOX12,0.19,0.36103,Iwamoto_BA10_BPD,BPD,Human
ALOX15,-0.50,0.16909,Iwamoto_BA10_BPD,BPD,Human
ALOX15B,0.10,0.65921,Iwamoto_BA10_BPD,BPD,Human
ALOX5,-0.17,0.60459,Iwamoto_BA10_BPD,BPD,Human
AMOT,-0.01,0.96613,Iwamoto_BA10_BPD,BPD,Human
AMPD1,-0.45,0.33364,Iwamoto_BA10_BPD,BPD,Human
ANAPC10,0.05,0.89766,Iwamoto_BA10_BPD,BPD,Human
ANAPC5,-0.09,0.43244,Iwamoto_BA10_BPD,BPD,Human
ANGPT1,0.03,0.42428,Iwamoto_BA10_BPD,BPD,Human
ANGPT2,-0.07,0.50861,Iwamoto_BA10_BPD,BPD,Human
ANPEP,-0.05,0.85173,Iwamoto_BA10_BPD,BPD,Human
AOC1,0.27,0.29692,Iwamoto_BA10_BPD,BPD,Human
AOX1,0.02,0.94911,Iwamoto_BA10_BPD,BPD,Human
AP2M1,-0.06,0.46847,Iwamoto_BA10_BPD,BPD,Human
APAF1,-0.21,0.65153,Iwamoto_BA10_BPD,BPD,Human
APBB1,0.00,0.97564,Iwamoto_BA10_BPD,BPD,Human
APC2,0.04,0.68550,Iwamoto_BA10_BPD,BPD,Human
APOA1,-0.08,0.74115,Iwamoto_BA10_BPD,BPD,Human
APOB,0.02,0.41905,Iwamoto_BA10_BPD,BPD,Human
APOC3,0.23,0.34998,Iwamoto_BA10_BPD,BPD,Human
APOE,0.34,0.17382,Iwamoto_BA10_BPD,BPD,Human
APP,-0.02,0.84494,Iwamoto_BA10_BPD,BPD,Human
APRT,0.13,0.58930,Iwamoto_BA10_BPD,BPD,Human
AQP1,0.31,0.56384,Iwamoto_BA10_BPD,BPD,Human
AQP4,0.59,0.02085,Iwamoto_BA10_BPD,BPD,Human
AR,0.17,0.40344,Iwamoto_BA10_BPD,BPD,Human
ARAF,0.04,0.62529,Iwamoto_BA10_BPD,BPD,Human
ARC,0.21,0.20967,Iwamoto_BA10_BPD,BPD,Human
AREG,0.20,0.72103,Iwamoto_BA10_BPD,BPD,Human
ARF1,-0.03,0.76686,Iwamoto_BA10_BPD,BPD,Human
ARF6,0.07,0.63139,Iwamoto_BA10_BPD,BPD,Human
ARHGAP35,0.05,0.49726,Iwamoto_BA10_BPD,BPD,Human
ARHGDIA,-0.23,0.16777,Iwamoto_BA10_BPD,BPD,Human
ARNT,-0.53,0.08900,Iwamoto_BA10_BPD,BPD,Human
ARNT2,-0.07,0.56162,Iwamoto_BA10_BPD,BPD,Human
ASIP,-0.61,0.11482,Iwamoto_BA10_BPD,BPD,Human
ASL,0.62,0.10947,Iwamoto_BA10_BPD,BPD,Human
ASMT,-0.26,0.54933,Iwamoto_BA10_BPD,BPD,Human
ASNS,-0.13,0.49535,Iwamoto_BA10_BPD,BPD,Human
ASPA,0.02,0.94873,Iwamoto_BA10_BPD,BPD,Human
ASS1,-0.24,0.11453,Iwamoto_BA10_BPD,BPD,Human
ATF1,-0.22,0.60567,Iwamoto_BA10_BPD,BPD,Human
ATF2,-0.15,0.60904,Iwamoto_BA10_BPD,BPD,Human
ATF4,-0.12,0.40312,Iwamoto_BA10_BPD,BPD,Human
ATF6,-0.17,0.54505,Iwamoto_BA10_BPD,BPD,Human
ATG12,0.07,0.36518,Iwamoto_BA10_BPD,BPD,Human
ATG13,0.05,0.65112,Iwamoto_BA10_BPD,BPD,Human
ATG5,-0.01,0.95520,Iwamoto_BA10_BPD,BPD,Human
ATIC,0.01,0.94061,Iwamoto_BA10_BPD,BPD,Human
ATM,0.21,0.38217,Iwamoto_BA10_BPD,BPD,Human
ATP2A1,0.62,0.02827,Iwamoto_BA10_BPD,BPD,Human
ATP2B1,-0.20,0.26781,Iwamoto_BA10_BPD,BPD,Human
ATP6V0C,-0.17,0.17544,Iwamoto_BA10_BPD,BPD,Human
ATP6V1A,-0.07,0.71072,Iwamoto_BA10_BPD,BPD,Human
ATP6V1B1,-0.08,0.80748,Iwamoto_BA10_BPD,BPD,Human
ATP6V1D,-0.07,0.60680,Iwamoto_BA10_BPD,BPD,Human
ATP6V1E1,-0.09,0.54643,Iwamoto_BA10_BPD,BPD,Human
ATP6V1F,0.09,0.44652,Iwamoto_BA10_BPD,BPD,Human
ATP6V1H,0.21,0.30646,Iwamoto_BA10_BPD,BPD,Human
ATR,-0.06,0.61487,Iwamoto_BA10_BPD,BPD,Human
AUH,-0.08,0.62706,Iwamoto_BA10_BPD,BPD,Human
AVP,0.00,0.98974,Iwamoto_BA10_BPD,BPD,Human
AXIN1,-0.52,0.13569,Iwamoto_BA10_BPD,BPD,Human
B2M,0.26,0.20933,Iwamoto_BA10_BPD,BPD,Human
BAAT,-0.63,0.11573,Iwamoto_BA10_BPD,BPD,Human
BAD,-0.02,0.86950,Iwamoto_BA10_BPD,BPD,Human
BAK1,-0.11,0.67998,Iwamoto_BA10_BPD,BPD,Human
BAX,0.02,0.51182,Iwamoto_BA10_BPD,BPD,Human
BBC3,-0.26,0.31051,Iwamoto_BA10_BPD,BPD,Human
BCAT1,0.23,0.36284,Iwamoto_BA10_BPD,BPD,Human
BCKDHA,-0.05,0.68426,Iwamoto_BA10_BPD,BPD,Human
BCL10,-0.07,0.88387,Iwamoto_BA10_BPD,BPD,Human
BCL2,0.10,0.65520,Iwamoto_BA10_BPD,BPD,Human
BCL2A1,0.30,0.59013,Iwamoto_BA10_BPD,BPD,Human
BCL2L1,-0.14,0.57568,Iwamoto_BA10_BPD,BPD,Human
BCL2L11,0.22,0.48978,Iwamoto_BA10_BPD,BPD,Human
BCL2L2,-0.07,0.49017,Iwamoto_BA10_BPD,BPD,Human
BCL6,0.23,0.34779,Iwamoto_BA10_BPD,BPD,Human
BDH1,-0.01,0.94767,Iwamoto_BA10_BPD,BPD,Human
BDKRB1,-0.30,0.56792,Iwamoto_BA10_BPD,BPD,Human
BDNF,-0.56,0.14929,Iwamoto_BA10_BPD,BPD,Human
BHMT,0.02,0.94105,Iwamoto_BA10_BPD,BPD,Human
BID,0.18,0.35965,Iwamoto_BA10_BPD,BPD,Human
BIRC2,0.21,0.13640,Iwamoto_BA10_BPD,BPD,Human
BIRC5,0.25,0.24069,Iwamoto_BA10_BPD,BPD,Human
BLNK,-0.03,0.95352,Iwamoto_BA10_BPD,BPD,Human
BMP2,-0.21,0.64164,Iwamoto_BA10_BPD,BPD,Human
BMP4,-0.43,0.24703,Iwamoto_BA10_BPD,BPD,Human
BMP7,0.06,0.75014,Iwamoto_BA10_BPD,BPD,Human
BMP8A,0.22,0.48780,Iwamoto_BA10_BPD,BPD,Human
BMPR1A,0.15,0.60103,Iwamoto_BA10_BPD,BPD,Human
BMPR1B,0.50,0.25055,Iwamoto_BA10_BPD,BPD,Human
BMPR2,0.15,0.76744,Iwamoto_BA10_BPD,BPD,Human
BNIP3,0.03,0.77708,Iwamoto_BA10_BPD,BPD,Human
BPGM,0.27,0.10172,Iwamoto_BA10_BPD,BPD,Human
BRAF,0.09,0.18522,Iwamoto_BA10_BPD,BPD,Human
BRCA1,0.40,0.18653,Iwamoto_BA10_BPD,BPD,Human
BRCA2,0.38,0.26999,Iwamoto_BA10_BPD,BPD,Human
BTC,0.63,0.12002,Iwamoto_BA10_BPD,BPD,Human
BTK,0.08,0.83263,Iwamoto_BA10_BPD,BPD,Human
BUB1,-0.13,0.79955,Iwamoto_BA10_BPD,BPD,Human
BUB3,-0.03,0.82207,Iwamoto_BA10_BPD,BPD,Human
C4A,0.12,0.66629,Iwamoto_BA10_BPD,BPD,Human
C5,-0.63,0.12546,Iwamoto_BA10_BPD,BPD,Human
CA2,-0.14,0.55624,Iwamoto_BA10_BPD,BPD,Human
CA4,-0.35,0.02238,Iwamoto_BA10_BPD,BPD,Human
CACNA1A,-0.32,0.01987,Iwamoto_BA10_BPD,BPD,Human
CACNA1B,-0.43,0.06631,Iwamoto_BA10_BPD,BPD,Human
CACNA1C,-0.32,0.25751,Iwamoto_BA10_BPD,BPD,Human
CACNA1D,-0.39,0.05193,Iwamoto_BA10_BPD,BPD,Human
CAD,-0.11,0.09982,Iwamoto_BA10_BPD,BPD,Human
CALCRL,0.41,0.16176,Iwamoto_BA10_BPD,BPD,Human
CALR,-0.10,0.58941,Iwamoto_BA10_BPD,BPD,Human
CAMK2A,0.01,0.96555,Iwamoto_BA10_BPD,BPD,Human
CAMK4,-0.14,0.08936,Iwamoto_BA10_BPD,BPD,Human
CAMKK2,-0.14,0.17573,Iwamoto_BA10_BPD,BPD,Human
CAPN1,-0.10,0.33544,Iwamoto_BA10_BPD,BPD,Human
CAPN2,0.00,0.98830,Iwamoto_BA10_BPD,BPD,Human
CASP1,-0.42,0.32052,Iwamoto_BA10_BPD,BPD,Human
CASP3,0.12,0.57150,Iwamoto_BA10_BPD,BPD,Human
CASP6,-0.02,0.97345,Iwamoto_BA10_BPD,BPD,Human
CASP7,0.48,0.24527,Iwamoto_BA10_BPD,BPD,Human
CASP8,0.06,0.31292,Iwamoto_BA10_BPD,BPD,Human
CASP9,0.18,0.42291,Iwamoto_BA10_BPD,BPD,Human
CAT,0.05,0.79797,Iwamoto_BA10_BPD,BPD,Human
CAV1,-0.22,0.38510,Iwamoto_BA10_BPD,BPD,Human
CBL,-0.28,0.51372,Iwamoto_BA10_BPD,BPD,Human
CBLB,-0.22,0.50452,Iwamoto_BA10_BPD,BPD,Human
CBR1,0.06,0.77064,Iwamoto_BA10_BPD,BPD,Human
CBS,0.05,0.72327,Iwamoto_BA10_BPD,BPD,Human
CBX3,0.03,0.88351,Iwamoto_BA10_BPD,BPD,Human
CCL11,-0.69,0.08948,Iwamoto_BA10_BPD,BPD,Human
CCL17,-0.02,0.95949,Iwamoto_BA10_BPD,BPD,Human
CCL2,0.11,0.56449,Iwamoto_BA10_BPD,BPD,Human
CCL20,0.44,0.48055,Iwamoto_BA10_BPD,BPD,Human
CCL5,0.06,0.41503,Iwamoto_BA10_BPD,BPD,Human
CCL7,0.83,0.07169,Iwamoto_BA10_BPD,BPD,Human
CCNA2,0.01,0.81447,Iwamoto_BA10_BPD,BPD,Human
CCNB2,-0.01,0.98305,Iwamoto_BA10_BPD,BPD,Human
CCND1,-0.21,0.34922,Iwamoto_BA10_BPD,BPD,Human
CCND2,0.00,0.47184,Iwamoto_BA10_BPD,BPD,Human
CCNE1,0.31,0.19188,Iwamoto_BA10_BPD,BPD,Human
CCNG1,0.97,0.01009,Iwamoto_BA10_BPD,BPD,Human
CCNG2,0.16,0.45987,Iwamoto_BA10_BPD,BPD,Human
CCNH,-0.22,0.44102,Iwamoto_BA10_BPD,BPD,Human
CCR1,-0.05,0.52612,Iwamoto_BA10_BPD,BPD,Human
CCR3,0.25,0.49597,Iwamoto_BA10_BPD,BPD,Human
CCR4,-0.45,0.09788,Iwamoto_BA10_BPD,BPD,Human
CCR5,0.54,0.11004,Iwamoto_BA10_BPD,BPD,Human
CCR8,0.36,0.46029,Iwamoto_BA10_BPD,BPD,Human
CCS,-0.38,0.00931,Iwamoto_BA10_BPD,BPD,Human
CD14,-0.31,0.41043,Iwamoto_BA10_BPD,BPD,Human
CD19,0.16,0.66794,Iwamoto_BA10_BPD,BPD,Human
CD22,-0.55,0.13006,Iwamoto_BA10_BPD,BPD,Human
CD28,0.62,0.09819,Iwamoto_BA10_BPD,BPD,Human
CD36,0.71,0.13634,Iwamoto_BA10_BPD,BPD,Human
CD3D,0.17,0.71226,Iwamoto_BA10_BPD,BPD,Human
CD4,-0.31,0.32049,Iwamoto_BA10_BPD,BPD,Human
CD40,0.07,0.46831,Iwamoto_BA10_BPD,BPD,Human
CD40LG,-0.24,0.56604,Iwamoto_BA10_BPD,BPD,Human
CD44,0.17,0.39705,Iwamoto_BA10_BPD,BPD,Human
CD79A,-0.09,0.71497,Iwamoto_BA10_BPD,BPD,Human
CD79B,-0.06,0.67203,Iwamoto_BA10_BPD,BPD,Human
CD80,-0.33,0.43335,Iwamoto_BA10_BPD,BPD,Human
CD81,0.14,0.26128,Iwamoto_BA10_BPD,BPD,Human
CD86,0.02,0.96502,Iwamoto_BA10_BPD,BPD,Human
CDA,-0.42,0.27603,Iwamoto_BA10_BPD,BPD,Human
CDC14B,0.24,0.23955,Iwamoto_BA10_BPD,BPD,Human
CDC20,-0.32,0.28832,Iwamoto_BA10_BPD,BPD,Human
CDC25A,0.26,0.27340,Iwamoto_BA10_BPD,BPD,Human
CDC37,-0.16,0.20750,Iwamoto_BA10_BPD,BPD,Human
CDC42,-0.12,0.58193,Iwamoto_BA10_BPD,BPD,Human
CDC45,0.00,0.97832,Iwamoto_BA10_BPD,BPD,Human
CDC6,0.61,0.11433,Iwamoto_BA10_BPD,BPD,Human
CDC7,0.03,0.80586,Iwamoto_BA10_BPD,BPD,Human
CDH1,0.04,0.48582,Iwamoto_BA10_BPD,BPD,Human
CDH5,-0.11,0.61484,Iwamoto_BA10_BPD,BPD,Human
CDIPT,-0.16,0.09638,Iwamoto_BA10_BPD,BPD,Human
CDK1,0.01,0.25666,Iwamoto_BA10_BPD,BPD,Human
CDK2,-0.09,0.76681,Iwamoto_BA10_BPD,BPD,Human
CDK4,0.02,0.89013,Iwamoto_BA10_BPD,BPD,Human
CDK5,-0.09,0.49277,Iwamoto_BA10_BPD,BPD,Human
CDK5R1,0.11,0.65163,Iwamoto_BA10_BPD,BPD,Human
CDK6,0.04,0.82079,Iwamoto_BA10_BPD,BPD,Human
CDK7,-0.10,0.56273,Iwamoto_BA10_BPD,BPD,Human
CDK9,0.01,0.92206,Iwamoto_BA10_BPD,BPD,Human
CDKN1A,0.41,0.31453,Iwamoto_BA10_BPD,BPD,Human
CDKN1B,0.15,0.34452,Iwamoto_BA10_BPD,BPD,Human
CDKN2A,0.06,0.90349,Iwamoto_BA10_BPD,BPD,Human
CDKN2B,0.13,0.55683,Iwamoto_BA10_BPD,BPD,Human
CDKN2C,-0.02,0.90246,Iwamoto_BA10_BPD,BPD,Human
CDKN2D,0.16,0.22845,Iwamoto_BA10_BPD,BPD,Human
CDX2,0.11,0.72278,Iwamoto_BA10_BPD,BPD,Human
CEBPA,-0.15,0.15123,Iwamoto_BA10_BPD,BPD,Human
CEBPB,0.14,0.34346,Iwamoto_BA10_BPD,BPD,Human
CFL1,0.00,0.97703,Iwamoto_BA10_BPD,BPD,Human
CFLAR,0.16,0.56789,Iwamoto_BA10_BPD,BPD,Human
CHD8,-0.16,0.53149,Iwamoto_BA10_BPD,BPD,Human
CHEK1,1.51,0.00753,Iwamoto_BA10_BPD,BPD,Human
CHRM3,-0.15,0.34447,Iwamoto_BA10_BPD,BPD,Human
CHRNA4,-0.36,0.34547,Iwamoto_BA10_BPD,BPD,Human
CHRNA7,-0.08,0.61790,Iwamoto_BA10_BPD,BPD,Human
CHUK,-0.02,0.87562,Iwamoto_BA10_BPD,BPD,Human
CKB,-0.02,0.85513,Iwamoto_BA10_BPD,BPD,Human
CLIP1,0.03,0.88251,Iwamoto_BA10_BPD,BPD,Human
CLOCK,0.34,0.16705,Iwamoto_BA10_BPD,BPD,Human
CLTA,-0.06,0.60995,Iwamoto_BA10_BPD,BPD,Human
CNGB1,-0.23,0.49880,Iwamoto_BA10_BPD,BPD,Human
CNOT1,-0.07,0.54624,Iwamoto_BA10_BPD,BPD,Human
CNR1,-0.28,0.18964,Iwamoto_BA10_BPD,BPD,Human
COL1A1,-0.15,0.29429,Iwamoto_BA10_BPD,BPD,Human
COMT,-0.02,0.91223,Iwamoto_BA10_BPD,BPD,Human
COX11,-0.20,0.35578,Iwamoto_BA10_BPD,BPD,Human
COX17,-0.04,0.77505,Iwamoto_BA10_BPD,BPD,Human
COX4I1,-0.05,0.62944,Iwamoto_BA10_BPD,BPD,Human
COX5A,-0.02,0.88425,Iwamoto_BA10_BPD,BPD,Human
COX5B,0.14,0.22568,Iwamoto_BA10_BPD,BPD,Human
COX6A1,0.05,0.57992,Iwamoto_BA10_BPD,BPD,Human
COX6C,-0.07,0.64921,Iwamoto_BA10_BPD,BPD,Human
COX7A1,0.04,0.76572,Iwamoto_BA10_BPD,BPD,Human
COX7B,0.12,0.49210,Iwamoto_BA10_BPD,BPD,Human
COX7C,0.06,0.57675,Iwamoto_BA10_BPD,BPD,Human
COX8A,0.11,0.32723,Iwamoto_BA10_BPD,BPD,Human
CP,-0.07,0.77734,Iwamoto_BA10_BPD,BPD,Human
CPS1,-0.11,0.78542,Iwamoto_BA10_BPD,BPD,Human
CPT1A,-0.61,0.02189,Iwamoto_BA10_BPD,BPD,Human
CPT1B,-0.19,0.31281,Iwamoto_BA10_BPD,BPD,Human
CR2,0.21,0.65233,Iwamoto_BA10_BPD,BPD,Human
CRAT,-0.03,0.68600,Iwamoto_BA10_BPD,BPD,Human
CREB1,-0.04,0.79804,Iwamoto_BA10_BPD,BPD,Human
CREB3,-0.18,0.16186,Iwamoto_BA10_BPD,BPD,Human
CREBBP,0.24,0.09590,Iwamoto_BA10_BPD,BPD,Human
CRH,-0.18,0.38873,Iwamoto_BA10_BPD,BPD,Human
CRHR1,0.10,0.46900,Iwamoto_BA10_BPD,BPD,Human
CRK,-0.03,0.24358,Iwamoto_BA10_BPD,BPD,Human
CS,-0.09,0.42294,Iwamoto_BA10_BPD,BPD,Human
CSF1,-0.06,0.33287,Iwamoto_BA10_BPD,BPD,Human
CSF1R,-0.51,0.16033,Iwamoto_BA10_BPD,BPD,Human
CSF2,0.58,0.05750,Iwamoto_BA10_BPD,BPD,Human
CSF2RB,0.01,0.17130,Iwamoto_BA10_BPD,BPD,Human
CSF3,-0.07,0.65698,Iwamoto_BA10_BPD,BPD,Human
CSF3R,-0.13,0.37218,Iwamoto_BA10_BPD,BPD,Human
CSH1,0.16,0.72032,Iwamoto_BA10_BPD,BPD,Human
CSN2,-0.27,0.12766,Iwamoto_BA10_BPD,BPD,Human
CSNK1D,0.01,0.74519,Iwamoto_BA10_BPD,BPD,Human
CSNK2A1,0.02,0.21077,Iwamoto_BA10_BPD,BPD,Human
CTBP1,-0.08,0.69357,Iwamoto_BA10_BPD,BPD,Human
CTH,0.53,0.23352,Iwamoto_BA10_BPD,BPD,Human
CTNNA1,-0.02,0.76877,Iwamoto_BA10_BPD,BPD,Human
CTNNB1,0.09,0.57901,Iwamoto_BA10_BPD,BPD,Human
CTNNBIP1,0.17,0.47338,Iwamoto_BA10_BPD,BPD,Human
CTNND1,-0.23,0.15135,Iwamoto_BA10_BPD,BPD,Human
CTPS1,-0.21,0.30179,Iwamoto_BA10_BPD,BPD,Human
CTSD,-0.05,0.73625,Iwamoto_BA10_BPD,BPD,Human
CUL1,-0.04,0.44966,Iwamoto_BA10_BPD,BPD,Human
CUL2,0.08,0.82270,Iwamoto_BA10_BPD,BPD,Human
CUL3,0.03,0.87707,Iwamoto_BA10_BPD,BPD,Human
CX3CL1,-0.13,0.29776,Iwamoto_BA10_BPD,BPD,Human
CXCL1,-0.12,0.74103,Iwamoto_BA10_BPD,BPD,Human
CXCL10,-0.82,0.10497,Iwamoto_BA10_BPD,BPD,Human
CXCL12,-0.08,0.51861,Iwamoto_BA10_BPD,BPD,Human
CXCL8,0.66,0.12530,Iwamoto_BA10_BPD,BPD,Human
CXCR2,0.23,0.44822,Iwamoto_BA10_BPD,BPD,Human
CXCR4,0.03,0.86342,Iwamoto_BA10_BPD,BPD,Human
CXCR6,0.26,0.42837,Iwamoto_BA10_BPD,BPD,Human
CYBA,0.11,0.38386,Iwamoto_BA10_BPD,BPD,Human
CYBB,0.17,0.70162,Iwamoto_BA10_BPD,BPD,Human
CYC1,0.09,0.54234,Iwamoto_BA10_BPD,BPD,Human
CYCS,-0.04,0.74892,Iwamoto_BA10_BPD,BPD,Human
CYP11A1,0.11,0.44323,Iwamoto_BA10_BPD,BPD,Human
CYP11B1,0.06,0.45399,Iwamoto_BA10_BPD,BPD,Human
CYP17A1,-0.32,0.35074,Iwamoto_BA10_BPD,BPD,Human
CYP1A1,0.03,0.60167,Iwamoto_BA10_BPD,BPD,Human
CYP1B1,-0.25,0.11201,Iwamoto_BA10_BPD,BPD,Human
CYP21A2,-0.14,0.35155,Iwamoto_BA10_BPD,BPD,Human
CYP24A1,1.10,0.06671,Iwamoto_BA10_BPD,BPD,Human
CYP27A1,-0.54,0.32044,Iwamoto_BA10_BPD,BPD,Human
CYP2B6,-0.11,0.50000,Iwamoto_BA10_BPD,BPD,Human
CYP2C19,-0.43,0.21505,Iwamoto_BA10_BPD,BPD,Human
CYP2C8,0.51,0.13116,Iwamoto_BA10_BPD,BPD,Human
CYP2E1,-0.19,0.18805,Iwamoto_BA10_BPD,BPD,Human
CYP2J2,-0.05,0.85004,Iwamoto_BA10_BPD,BPD,Human
CYP3A4,-0.03,0.73497,Iwamoto_BA10_BPD,BPD,Human
CYP4F3,0.43,0.27230,Iwamoto_BA10_BPD,BPD,Human
CYP7A1,0.29,0.57544,Iwamoto_BA10_BPD,BPD,Human
DAXX,-0.07,0.57949,Iwamoto_BA10_BPD,BPD,Human
DBF4,1.02,0.01567,Iwamoto_BA10_BPD,BPD,Human
DBH,0.14,0.60769,Iwamoto_BA10_BPD,BPD,Human
DBI,0.13,0.38334,Iwamoto_BA10_BPD,BPD,Human
DCC,0.31,0.46842,Iwamoto_BA10_BPD,BPD,Human
DCK,0.10,0.45057,Iwamoto_BA10_BPD,BPD,Human
DCT,-0.09,0.34114,Iwamoto_BA10_BPD,BPD,Human
DCTD,0.15,0.27427,Iwamoto_BA10_BPD,BPD,Human
DDB2,-0.14,0.24823,Iwamoto_BA10_BPD,BPD,Human
DDC,-0.37,0.37876,Iwamoto_BA10_BPD,BPD,Human
DDIT3,0.44,0.08082,Iwamoto_BA10_BPD,BPD,Human
DDIT4,0.20,0.53909,Iwamoto_BA10_BPD,BPD,Human
DDX5,0.03,0.86178,Iwamoto_BA10_BPD,BPD,Human
DHODH,-0.13,0.63509,Iwamoto_BA10_BPD,BPD,Human
DIAPH1,-0.09,0.53121,Iwamoto_BA10_BPD,BPD,Human
DIO1,0.43,0.25091,Iwamoto_BA10_BPD,BPD,Human
DIO2,0.27,0.36620,Iwamoto_BA10_BPD,BPD,Human
DIO3,-0.25,0.47561,Iwamoto_BA10_BPD,BPD,Human
DKK1,0.74,0.24212,Iwamoto_BA10_BPD,BPD,Human
DLAT,-0.11,0.34642,Iwamoto_BA10_BPD,BPD,Human
DLD,0.02,0.89821,Iwamoto_BA10_BPD,BPD,Human
DLG1,-0.11,0.16185,Iwamoto_BA10_BPD,BPD,Human
DLG4,-0.18,0.24172,Iwamoto_BA10_BPD,BPD,Human
